game_date,site,team,tdiv,opponent,odiv,win,lose,w3,w4,w5,l3,l4,l5,e_m,e_w3,e_w4,e_w5,e_l3,e_l4,e_l5
2017-02-03,Home,CSUN,D1,Stanford,D1,0.418,0.582,0.094,0.154,0.171,0.162,0.221,0.198,177.9,135.6,180.3,206.4,134.1,179.3,206.1
2017-02-08,Away,CSUN,D1,UC San Diego,D1,0.626,0.374,0.186,0.239,0.200,0.079,0.135,0.160,177.2,133.7,179.0,206.0,136.0,180.5,206.4
2017-02-08,Away,D'Youville,D3,Hilbert,D3,0.983,0.017,0.688,0.242,0.053,0.002,0.004,0.011,141.9,125.3,172.3,202.1,140.9,182.7,205.2
2017-02-08,Home,East. Mennonite,D3,Stevenson,D3,0.845,0.155,0.365,0.312,0.167,0.023,0.050,0.082,166.5,130.8,176.8,204.9,138.1,181.7,206.4
2017-02-09,Home,Elms,D3,Mount Ida,D3,0.968,0.032,0.617,0.275,0.076,0.003,0.008,0.020,147.5,126.7,173.5,202.9,140.3,182.6,205.6
2017-02-04,Home,Emerson,D3,MIT,D3,0.892,0.108,0.432,0.316,0.144,0.015,0.033,0.060,161.6,129.8,176.0,204.4,138.8,182.0,206.3
2017-02-04,Home,Emerson,D3,Lesley,D3,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,98.3,98.3,147.7,184.0,148.3,181.0,194.1
2017-02-07,Away,Emerson,D3,Newbury,D3,0.996,0.004,0.806,0.168,0.022,0.000,0.001,0.003,132.4,122.4,169.7,200.4,142.0,182.8,204.3
2017-02-03,Away,Emmanuel (GA),D1,Mount Olive,D1,0.144,0.856,0.021,0.046,0.077,0.379,0.314,0.163,165.5,138.3,181.8,206.4,130.6,176.7,204.8
2017-02-08,Away,Emmanuel (MA),D3,Endicott,D3,0.036,0.964,0.004,0.010,0.023,0.599,0.282,0.082,148.8,140.2,182.5,205.7,127.0,173.7,203.0
2017-02-04,Away,Endicott,D3,Wentworth,D3,0.028,0.972,0.003,0.007,0.018,0.631,0.269,0.071,146.3,140.5,182.6,205.5,126.4,173.2,202.7
2017-02-04,Away,Erskine,D1,Mount Olive,D1,0.023,0.977,0.002,0.006,0.015,0.656,0.258,0.063,144.4,140.7,182.6,205.4,125.9,172.8,202.5
2017-02-03,Home,Fontbonne,D3,Marian (WI),D3,0.798,0.202,0.313,0.302,0.183,0.033,0.067,0.102,170.1,131.6,177.5,205.2,137.6,181.5,206.5
2017-02-03,Home,Fort Wayne,D1,McKendree,D1,0.584,0.416,0.164,0.223,0.198,0.093,0.152,0.171,177.9,134.1,179.3,206.1,135.6,180.3,206.4
2017-02-04,Home,Fort Wayne,D1,Ohio St.,D1,0.059,0.941,0.007,0.017,0.035,0.529,0.303,0.108,154.2,139.6,182.3,206.0,128.2,174.7,203.7
2017-02-04,Home,Greenville,D3,Marian (WI),D3,0.445,0.555,0.103,0.165,0.177,0.149,0.210,0.195,178.3,135.4,180.2,206.3,134.4,179.5,206.1
2017-02-04,Home,Greenville,D3,Marian (WI),D3,0.445,0.555,0.103,0.165,0.177,0.149,0.210,0.195,178.3,135.4,180.2,206.3,134.4,179.5,206.1
2017-02-03,Home,Hawaii,D1,UC Santa Barbara,D1,0.818,0.182,0.335,0.307,0.177,0.029,0.060,0.093,168.6,131.3,177.2,205.1,137.8,181.6,206.4
2017-02-04,Home,Hawaii,D1,UC Santa Barbara,D1,0.818,0.182,0.335,0.307,0.177,0.029,0.060,0.093,168.6,131.3,177.2,205.1,137.8,181.6,206.4
2017-02-04,Home,Hunter,D3,St. Joseph's (Brkln),D3,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,94.4,94.4,144.1,181.2,149.2,180.6,192.4
2017-02-07,Home,IIT,D3,North Central (IL),D3,0.045,0.955,0.005,0.013,0.028,0.569,0.293,0.093,151.2,139.9,182.4,205.8,127.5,174.2,203.3
2017-02-08,Away,John Jay,D3,St. Joseph's (L.I.),D3,0.000,1.000,0.000,0.000,0.000,0.958,0.041,0.001,117.1,144.3,182.6,201.5,115.0,163.1,195.7
2017-02-04,Away,Johnson & Wales (RI),D3,Nazareth,D3,0.039,0.961,0.004,0.010,0.024,0.591,0.285,0.085,149.5,140.1,182.5,205.7,127.1,173.9,203.1
2017-02-08,Away,Johnson & Wales (RI),D3,Lasell,D3,0.037,0.963,0.004,0.010,0.023,0.597,0.283,0.083,149.0,140.2,182.5,205.7,127.0,173.8,203.1
2017-02-03,Away,Juniata,D3,Nazareth,D3,0.195,0.805,0.031,0.064,0.099,0.321,0.304,0.181,169.6,137.7,181.5,206.4,131.5,177.4,205.2
2017-02-03,Away,Kean,D3,Springfield,D3,0.008,0.992,0.001,0.002,0.006,0.758,0.201,0.033,136.3,141.6,182.8,204.8,123.7,170.9,201.2
2017-02-09,Away,Keuka,D3,SUNY Poly,D3,0.177,0.823,0.028,0.058,0.092,0.339,0.308,0.176,168.3,137.9,181.6,206.4,131.2,177.1,205.1
2017-02-03,Away,Lakeland,D3,MSOE,D3,0.010,0.990,0.001,0.002,0.007,0.737,0.214,0.039,138.0,141.4,182.8,204.9,124.2,171.3,201.5
2017-02-04,Away,Lancaster Bible,D3,SUNY Poly,D3,0.571,0.429,0.157,0.217,0.197,0.098,0.158,0.174,178.1,134.2,179.4,206.1,135.5,180.2,206.4
2017-02-04,Away,Lasell,D3,Ramapo,D3,0.395,0.605,0.086,0.144,0.165,0.175,0.231,0.199,177.6,135.8,180.4,206.4,133.9,179.2,206.0
2017-02-04,Home,Lees-McRae,D1,Pfeiffer,D1,0.973,0.027,0.636,0.267,0.070,0.003,0.007,0.017,146.0,126.3,173.2,202.7,140.5,182.6,205.5
2017-02-07,Away,Lehman,D3,York (NY),D3,0.976,0.024,0.650,0.261,0.065,0.002,0.006,0.015,144.8,126.0,172.9,202.5,140.6,182.6,205.5
2017-02-08,Away,Lehman,D3,Purchase,D3,0.498,0.502,0.124,0.187,0.187,0.126,0.188,0.188,178.5,134.9,179.8,206.3,134.9,179.8,206.2
